Nitrogen(mg/kg),Phosphorus(mg/kg),Potassium(mg/kg),Soil_Type,Crop_Type,pH,Electrical_Conductivity,Soil_Moisture,Soil_Temperture,N_Status,P_Status,K_Status,Primary_Fertilizer,Secondary_Fertilizer,pH_Amendment
126.39,7.18,181.53,Alluvial,Barley,7.11,743.8,18.99,30.13,0,0.42,0,MAP (Mono-Ammonium Phosphate),Copper Sulphate + Zinc Sulphate,Balance Maintain
213.29,40.82,313.38,Alluvial,Moong,8.2,699.47,21.61,20.55,0,0,0,Balanced NPK (14-14-14),Ferrous Sulphate + Zinc Sulphate,Gypsum
106.92,6.17,106.25,Black,Moong,5.95,1156.6,25.82,28.57,8.08,1.83,40.75,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Ferrous Sulphate,Hydrated Lime
100.23,5.62,115.98,Black,Jowar,6.14,730.04,30.28,28.29,14.77,2.38,31.02,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Boric Acid + Zinc Sulphate,Balance Maintain
106.14,6.29,109.9,Alkaline,Cotton,8.26,2183.19,11.47,30.95,0,0,20.1,Potassium Nitrate,Borax + Ferrous Sulphate + Zinc Sulphate,Ammonium Sulphate
92.24,5.61,95.75,Arid,Maize,8,1396.75,14.94,27.61,40.76,0.39,18.25,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Ferrous Sulphate + Zinc Sulphate,Aluminium Sulphate
122.85,16.05,206.43,Alluvial,Soybean,6.59,1011.62,33.67,19.24,0,0,0,Balanced NPK (14-14-14),Boric Acid + Manganese Sulphate,Balance Maintain
80.19,2.93,181.12,Black,Cotton,6.78,536.4,30.85,21.97,34.81,5.07,0,DAP (Di-Ammonium Phosphate),Copper Sulphate + Ferrous Sulphate,Balance Maintain
84.62,9.86,186.15,Black,Groundnut,7.36,1103.85,21.48,25.02,30.38,0,0,Ammonium Nitrate,Ammonium Molybdate + Zinc Sulphate,Balance Maintain
62.97,11.52,139.16,Black,Wheat,6.84,1218.52,32.75,32.42,52.03,0,7.84,Urea + MOP (Muriate of Potash),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
97.16,3.51,111.41,Arid,Ragi,8.39,1858.02,13.42,35.88,35.84,2.49,2.59,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Ferrous Sulphate + Zinc Sulphate,Ammonium Sulphate
183.64,57.1,105.59,Red,Jowar,8.09,264.73,15.47,28.18,0,0,18.41,Potassium-Magnesium Sulphate,Copper Sulphate + Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Aluminium Sulphate
136.66,2,106.49,Arid,Jowar,8.14,2165.05,8.43,23.39,0,4,7.51,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Borax + Ferrous Sulphate + Zinc Sulphate,Aluminium Sulphate
125.8,77.19,277.79,Arid,Moong,7.89,580.04,18.07,36.47,7.2,0,0,Ammonium Chloride,Ferrous Sulphate + Manganese Sulphate + Zinc Sulphate,Elemental Sulphur
76.01,9.29,136.85,Alkaline,Mustard,8.38,2043.29,11.65,23.65,13.99,0,0,Urea,Boric Acid + Ferrous Sulphate + Zinc Sulphate,Ammonium Sulphate
207.32,8.83,30.52,Clayey,Rice,6.64,793.21,26.75,31.2,0,1.17,119.48,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Ferrous Sulphate + Ammonium Molybdate,Balance Maintain
82.19,6.52,51.13,Alkaline,Soybean,8.12,2416.02,24.58,35.4,7.81,0,78.87,Urea + MOP (Muriate of Potash),Copper Sulphate + Sodium Molybdate,Aluminium Sulphate
132.26,2,77.32,Arid,Rice,7.6,1546.06,12.54,22.93,0.74,4,36.68,Balanced NPK (14-14-14),Borax + Ferrous Sulphate + Zinc Sulphate,Aluminium Sulphate
100.07,9.53,135.58,Black,Wheat,6.77,786.2,29.79,33.8,14.93,0,11.42,Urea + MOP (Muriate of Potash),Boric Acid + Zinc Sulphate,Balance Maintain
141.47,4.32,112.81,Black,Jowar,7.31,683.51,32.65,28.87,0,3.68,34.19,DAP (Di-Ammonium Phosphate) + MOP (Muriate of Potash),Copper Sulphate + Zinc Sulphate,Balance Maintain
188.22,3.89,116.63,Arid,Ragi,7.8,1915.42,7.8,22.73,0,2.11,0,MAP (Mono-Ammonium Phosphate),Boric Acid + Ferrous Sulphate + Zinc Sulphate,Ammonium Sulphate
87.76,2.22,91.21,Alluvial,Garlic,6.48,129.27,28.97,20.44,22.24,5.38,60.79,Balanced NPK (14-14-14),Borax + Ferrous Sulphate,Balance Maintain
79.66,12.31,116.28,Alluvial,Rice,6.37,995.24,31.89,25.77,30.34,0,35.72,Urea + MOP (Muriate of Potash),Borax + Copper Sulphate,Balance Maintain
69.38,2.71,160.42,Alluvial,Sugarcane,6.6,987.64,23.76,22.89,40.62,4.89,0,DAP (Di-Ammonium Phosphate),Ferrous Sulphate + Manganese Sulphate,Balance Maintain
133.01,8.95,158.05,Black,Onion,7.14,716.39,23.23,32.58,0,0,0,Balanced NPK (14-14-14),Copper Sulphate + Manganese Sulphate,Balance Maintain
