Temperature,Humidity,Moisture,Soil_Type,Crop,Nitrogen,Phosphorus,Potassium,pH,EC(mmhos/cm2),N_Status,P_Status,K_Status,Primary_Fertilizer,Secondary_Fertilizer,pH_Amendment
38.3,35,33,Laterite,cotton,64,84,61,6.971534247,1.02,Optimal,High,Optimal,Avoid N,Ammonium Molybdate + Zinc Sulphate mixture,Gypsum + Organic matter
22.5,32,73,Black,sugarcane,58,32,32,6.971534247,1.05,Optimal,Optimal,Low,Rock Phosphate,Borax + Elemental Sulphur mixture,None
33.6,84,72,Alluvial,ragi,101,76,83,6.971534247,0.83,High,High,High,Calcium Ammonium Nitrate,Borax + Ammonium Molybdate mixture,None
31.9,94,48,Alluvial,rice,2,73,101,6.971534247,0.58,Low,High,High,Stop K,Borax + Zinc Sulphate mixture,Wood ash + Biochar
34.8,91,22,Laterite,rice,115,21,36,9.23,2.54,High,Low,Low,Monoammonium Phosphate (MAP),Ammonium Molybdate + Zinc Sulphate mixture,Gypsum
31.3,90,31,Clayey,garlic,111,62,68,6.971534247,1.09,High,High,Optimal,Urea,Ferrous Sulphate + Zinc Sulphate mixture,None
33,60,33,Black,ragi,42,20,73,6.971534247,0.78,Optimal,Low,Optimal,Ammonium Chloride,Ferrous Sulphate + Manganese Sulphate mixture,None
25.2,75,77,Arid,jowar,54,82,94,9.5,3.55,Optimal,High,High,Stop P,Zinc Sulphate,Gypsum + Sulphur
20.4,77,42,Red,groundnut,64,32,119,6.971534247,1.14,Optimal,Optimal,High,Calcium Ammonium Nitrate,Manganese Sulphate,None
24.9,55,36,Alluvial,maize,66,25,45,6.971534247,0.79,Optimal,Low,Optimal,Stop P,Borax + Elemental Sulphur mixture,Sulphur
33.7,66,26,Red,bajra,124,93,94,9.47,3.69,High,High,High,Rock Phosphate,Zinc Sulphate + Borax mixture,Sulphur
27.6,32,48,Black,soyabean,53,46,75,6.971534247,0.92,Optimal,Optimal,Optimal,Ammonium Sulphate,Borax + Elemental Sulphur mixture,None
32.2,34,32,Black,maize,23,60,18,6.971534247,1.07,Low,High,Low,Stop P,Zinc Sulphate,None
37.4,44,43,Red,bajra,60,64,118,6.971534247,0.82,Optimal,High,High,Ammonium Chloride,Rhizobium Biofertilizer + Zinc Sulphate mixture,None
27,34,48,Clayey,barley,26,94,66,6.971534247,1.38,Low,High,Optimal,Split N doses,Magnesium Sulphate + Zinc Sulphate mixture,Wood ash + Biochar
25.4,32,79,Clayey,wheat,46,91,49,6.971534247,0.76,Optimal,High,Optimal,Avoid N,Ferrous Sulphate + Manganese Sulphate mixture,Wood ash + Biochar
28.8,61,31,Alkaline soil,ragi,84,50,105,9.25,3.33,High,Optimal,High,Urea,Magnesium Sulphate,Gypsum
30.4,55,81,Red,maize,34,53,109,6.971534247,0.89,Optimal,Optimal,High,Reduce N,Zinc Sulphate + Borax mixture,None
22.8,77,82,Black,garlic,101,49,89,6.971534247,1.19,High,Optimal,High,Split N doses,Borax + Ammonium Molybdate mixture,Gypsum
27,45,48,Red,garlic,84,39,93,6.971534247,0.94,Optimal,Optimal,High,Avoid N,Ammonium Molybdate + Zinc Sulphate mixture,Wood ash + Biochar
23.2,50,41,Black,garlic,24,14,101,6.971534247,0.68,Low,Low,High,Single Super Phosphate (SSP),Zinc Sulphate + Borax mixture,None
27.5,81,36,Alkaline soil,maize,18,37,55,6.971534247,1.13,Low,Optimal,Optimal,Rock Phosphate,Ferrous Sulphate,None
30.6,37,58,Black,onion,41,34,21,6.971534247,1.38,Low,Optimal,Low,Avoid Potash,Ferrous Sulphate,None
21.4,41,30,Alkaline soil,groundnut,108,8,20,6.971534247,1.22,High,Low,Low,Reduce N,Ferrous Sulphate,Sulphur (Tea prefers acidic)
13.6,54,87,Red,groundnut,21,25,30,6.971534247,1.41,Low,Low,Low,Ammonium Chloride,Rhizobium Biofertilizer + Zinc Sulphate mixture,None
31.1,89,60,Alkaline soil,soyabean,33,67,102,6.971534247,0.52,Optimal,High,High,Stop K,Borax + Zinc Sulphate mixture,None
24.5,77,21,Black,cotton,68,31,108,6.971534247,1.28,Optimal,Optimal,High,Avoid Phosphate application,Borax + Zinc Sulphate mixture,Gypsum + Organic matter
34.7,91,70,Alkaline soil,chickpea,106,19,17,6.971534247,0.74,High,Low,Low,Rock Phosphate,Ammonium Molybdate + Zinc Sulphate mixture,Lime
25.8,61,20,Arid,onion,88,39,83,6.971534247,0.69,Optimal,Optimal,High,Diammonium Phosphate (DAP),Ammonium Molybdate + Zinc Sulphate mixture,None
21.4,95,80,Laterite,moong,95,32,14,6.971534247,0.84,High,Optimal,Low,Diammonium Phosphate (DAP),Ammonium Molybdate + Zinc Sulphate mixture,None
14.1,86,87,Red,onion,83,3,29,6.971534247,0.63,Optimal,Low,Low,Reduce N,Manganese Sulphate,Gypsum + Sulphur
23.4,86,59,Alkaline soil,garlic,34,98,32,6.971534247,1.23,Low,High,Low,Stop K,Zinc Sulphate + Borax mixture,None
30.9,67,70,Alkaline soil,groundnut,68,69,35,9.15,3.38,Optimal,High,Low,Ammonium Nitrate,Magnesium Sulphate + Zinc Sulphate mixture,Gypsum + Sulphur
34,71,77,Laterite,groundnut,78,38,79,6.41,2.4,Optimal,Optimal,High,Ammonium Sulphate,Rhizobium Biofertilizer + Zinc Sulphate mixture,Gypsum + Sulphur
31.5,68,41,Alkaline soil,barley,56,25,72,6.971534247,1.25,Optimal,Low,Optimal,Sulphate of Potash (SOP),Borax + Elemental Sulphur mixture,Gypsum + Organic matter
32.4,78,81,Arid,sugarcane,20,45,101,6.971534247,1.21,Low,Optimal,High,Avoid Potash,Ferrous Sulphate + Manganese Sulphate mixture,None
30.5,89,38,Alluvial,mustard,24,96,40,6.971534247,0.95,Low,High,Low,Urea Ammonium Nitrate (UAN),Magnesium Sulphate,None
22,53,36,Clayey,barley,42,5,88,6.971534247,0.6,Low,Low,High,Sulphate of Potash (SOP),Magnesium Sulphate + Zinc Sulphate mixture,None
36,54,47,Alkaline soil,chickpea,95,61,12,6.971534247,1.21,High,High,Low,Stop P,Ammonium Molybdate + Zinc Sulphate mixture,None
23.3,58,27,Arid,maize,85,79,84,7.33,2.48,Optimal,High,High,Calcium Ammonium Nitrate (CAN),Magnesium Sulphate + Zinc Sulphate mixture,Gypsum
33.9,71,75,Alluvial,rice,71,87,67,8.23,1.4,Optimal,High,Optimal,Urea Ammonium Nitrate (UAN),Rhizobium Biofertilizer + Zinc Sulphate mixture,Organic matter composts
23.3,70,22,Alluvial,rice,43,74,106,6.971534247,0.99,Low,High,High,Avoid Phosphate application,Ferrous Sulphate + Zinc Sulphate mixture,None
24.9,93,74,Arid,garlic,41,66,100,6.971534247,1.07,Low,High,High,Rock Phosphate,Ferrous Sulphate + Manganese Sulphate mixture,Compost (Coffee prefers slightly acidic)
27.5,93,75,Laterite,onion,118,71,72,6.971534247,1.07,High,High,Optimal,Muriate of Potash (MOP),Ferrous Sulphate + Zinc Sulphate mixture,Gypsum + Organic matter
25.6,38,33,Red,jowar,60,46,68,6.971534247,0.89,Optimal,Optimal,Optimal,Calcium Ammonium Nitrate (CAN),Magnesium Sulphate + Zinc Sulphate mixture,None
26.4,68,71,Clayey,rice,3,59,10,6.971534247,0.87,Low,High,Low,Sulphate of Potash (SOP),Gypsum + Borax mixture,Gypsum + Organic matter
15.7,59,58,Red,moong,117,30,69,6.971534247,0.63,High,Low,Optimal,Diammonium Phosphate (DAP),Borax + Elemental Sulphur mixture,Gypsum + Organic matter
23.9,70,68,Arid,garlic,19,9,113,6.971534247,0.67,Low,Low,High,Split N doses,Rhizobium Biofertilizer + Zinc Sulphate mixture,None
36.6,52,54,Arid,rice,19,75,119,6.971534247,0.66,Low,High,High,Urea,Zinc Sulphate + Manganese Sulphate mixture,None
21.2,47,65,Alkaline soil,cotton,31,74,25,6.971534247,0.9,Low,High,Low,Urea,Gypsum + Borax mixture,None
26.3,81,56,Arid,bajra,61,50,20,6.971534247,1.18,Optimal,Optimal,Low,Reduce N,Magnesium Sulphate + Zinc Sulphate mixture,None
18.2,78,45,Laterite,moong,12,94,43,6.971534247,0.91,Low,High,Optimal,Balanced NPK (maintenance),Zinc Sulphate,Compost (Coffee prefers slightly acidic)
16,57,50,Alluvial,mustard,29,50,16,6.971534247,0.95,Low,Optimal,Low,Ammonium Chloride,Borax + Ammonium Molybdate mixture,Gypsum + Sulphur
24.9,33,32,Alluvial,ragi,21,48,81,6.971534247,1.35,Low,Optimal,High,Ammonium Nitrate,Ammonium Molybdate + Zinc Sulphate mixture,Sulphur
14.6,34,63,Arid,garlic,16,71,79,6.971534247,1.21,Low,High,Optimal,Avoid N,Gypsum + Borax mixture,None
32.6,72,66,Laterite,rice,69,101,113,6.971534247,1.22,Optimal,High,High,Calcium Ammonium Nitrate (CAN),Magnesium Sulphate,None
27.1,82,60,Alluvial,maize,24,19,64,8.45,1.32,Low,Low,Optimal,Sulphate of Potash (SOP),Borax + Elemental Sulphur mixture,Gypsum + Sulphur
30.2,43,81,Clayey,wheat,77,42,61,9.48,3.78,Optimal,Optimal,Optimal,Reduce N,Ammonium Molybdate + Zinc Sulphate mixture,Gypsum + Sulphur
28.2,71,47,Clayey,bajra,80,30,91,6.971534247,0.91,High,Low,High,Calcium Ammonium Nitrate (CAN),Zinc Sulphate + Borax mixture,Wood ash + Biochar
24.8,39,46,Clayey,soyabean,109,46,86,6.971534247,0.58,High,Optimal,High,Calcium Ammonium Nitrate,Borax + Elemental Sulphur mixture,Lime
19.1,71,74,Alluvial,wheat,101,29,61,6.971534247,0.82,High,Low,Optimal,Monoammonium Phosphate (MAP),Magnesium Sulphate + Zinc Sulphate mixture,Gypsum + Organic matter
10.9,47,51,Arid,ragi,52,39,91,6.971534247,0.59,Optimal,Optimal,High,Ammonium Nitrate,Gypsum + Borax mixture,None
32.4,76,58,Alkaline soil,rice,68,83,21,6.971534247,1.28,Optimal,High,Low,Avoid Potash,Borax + Zinc Sulphate mixture,Sulphur
32.4,93,37,Alkaline soil,chickpea,90,35,90,6.971534247,1.22,High,Optimal,High,Ammonium Nitrate,Borax + Zinc Sulphate mixture,None
14.7,93,57,Black,garlic,102,81,62,6.971534247,1.47,High,High,Optimal,Sulphate of Potash (SOP),Magnesium Sulphate,Sulphur (Tea prefers acidic)
30.5,62,75,Black,onion,57,79,92,6.971534247,1.45,Optimal,High,High,Calcium Ammonium Nitrate (CAN),Rhizobium Biofertilizer + Zinc Sulphate mixture,None
30.8,30,41,Clayey,onion,73,78,58,6.971534247,1.22,Optimal,High,Optimal,Urea,Ferrous Sulphate,None
19.1,95,67,Clayey,maize,114,54,41,6.971534247,1.09,High,Optimal,Low,Calcium Ammonium Nitrate,Zinc Sulphate,Sulphur (Tea prefers acidic)
28.1,43,47,Alkaline soil,sugarcane,37,76,115,6.971534247,1.08,Optimal,High,High,Urea,Gypsum + Borax mixture,None
33.7,72,38,Clayey,moong,82,27,61,6.971534247,1.01,High,Low,Optimal,Diammonium Phosphate (DAP),Borax + Zinc Sulphate mixture,None
35.9,55,33,Arid,jowar,68,33,20,9.23,3.91,Optimal,Optimal,Low,Ammonium Chloride,Zinc Sulphate + Borax mixture,Gypsum + Sulphur
23.8,56,65,Arid,groundnut,8,35,46,6.971534247,0.79,Low,Optimal,Optimal,Ammonium Chloride,Borax + Elemental Sulphur mixture,Sulphur
20.6,88,57,Black,moong,46,17,12,6.971534247,0.53,Optimal,Low,Low,Stop P,Rhizobium Biofertilizer + Zinc Sulphate mixture,Compost (Coffee prefers slightly acidic)
25.5,80,22,Laterite,sugarcane,97,3,91,6.971534247,1.13,High,Low,High,Muriate of Potash (MOP),Ferrous Sulphate + Zinc Sulphate mixture,None
16.9,43,31,Arid,chickpea,49,41,27,6.971534247,0.9,Optimal,Optimal,Low,Muriate of Potash (MOP),Zinc Sulphate + Borax mixture,None
19.2,89,65,Black,maize,89,90,98,6.971534247,0.82,High,High,High,Urea,Magnesium Sulphate,None
