Nitrogen(mg/kg),Phosphorus(mg/kg),Potassium(mg/kg),Crop_Type,pH,Electrical_Conductivity,Soil_Moisture,Soil_Temperture,N_Status,P_Status,K_Status,Primary_Fertilizer,pH_Amendment
72,35,72,Rice,6.13,2404,59,17,Low,Low,Optimal,urea_ammonium_nitrate_uan,Ferrous Sulphate
101,18,78,Cotton,6.07,1461,63,24,Optimal,Optimal,Low,single_super_phosphate_ssp,Aluminium Sulphate
147,31,197,Bajra,7.44,2669,69,26,Optimal,Low,Optimal,urea_ammonium_nitrate_uan,Aluminium Sulphate
166,24,143,Rice,6.04,2235,77,20,Optimal,Optimal,Low,monoammonium_phosphate_map,Hydrated Lime
140,15,132,Ragi,7.25,989,74,19,Low,Optimal,Low,dap_mop_mixture,Dolomite
163,31,173,Rice,8.27,2043,65,16,Low,Low,Optimal,muriate_of_potash_mop,Dolomite
139,14,107,Chickpea,7.21,3074,58,22,Optimal,Optimal,Optimal,dap_mop_mixture,Dolomite
62,31,121,Garlic,7.79,1261,50,25,Optimal,Low,Low,rock_phosphate,Aluminium Sulphate
131,34,138,Jowar,6.1,1299,63,15,Optimal,Optimal,Low,ammonium_sulphate,Ammonium Sulphate
67,31,175,Soybean,6.61,3214,66,19,Low,Low,Optimal,monoammonium_phosphate_map,Agricultural Lime
167,29,174,Rice,8.39,3165,51,19,Optimal,Optimal,Low,triple_super_phosphate_tsp,Aluminium Sulphate
136,31,70,Groundnut,6.77,892,75,17,Optimal,Optimal,Optimal,monoammonium_phosphate_map,Ferrous Sulphate
160,30,137,Groundnut,6.37,1021,51,25,Low,Low,Low,triple_super_phosphate_tsp,Ferrous Sulphate
179,29,162,Moong,8.44,2887,56,15,Low,Optimal,Low,sulphate_of_potash_sop,Gypsum
103,25,165,Bajra,8.02,2452,50,22,Optimal,Optimal,Low,calcium_ammonium_nitrate_can,Ferrous Sulphate
180,11,66,Rice,8.31,3329,78,19,Low,Low,Optimal,calcium_ammonium_nitrate_can,Balance Maintain
179,11,63,Ragi,7.92,3196,76,20,Low,Optimal,Optimal,balanced_npk_maintenance,Elemental Sulphur
