Target,Model,Mean_Accuracy,Std_Dev
N_Status,RF,0.8738,0.0098
N_Status,XGB,0.8792,0.0071
N_Status,CAT,0.8747,0.0065
N_Status,LGB,0.8743,0.0099
N_Status,ENSEMBLE,0.8774,N/A
P_Status,RF,0.9297,0.0042
P_Status,XGB,0.9324,0.0047
P_Status,CAT,0.9316,0.0050
P_Status,LGB,0.9322,0.0057
P_Status,ENSEMBLE,0.9336,N/A
K_Status,RF,0.9002,0.0046
K_Status,XGB,0.9038,0.0052
K_Status,CAT,0.9000,0.0041
K_Status,LGB,0.9036,0.0054
K_Status,ENSEMBLE,0.9009,N/A
Primary_Fertilizer,RF,0.4829,0.0137
Primary_Fertilizer,XGB,0.5068,0.0049
Primary_Fertilizer,CAT,0.5199,0.0132
Primary_Fertilizer,LGB,0.5044,0.0076
Primary_Fertilizer,ENSEMBLE,0.4142,N/A
pH_Amendment,RF,0.5868,0.0053
pH_Amendment,XGB,0.5829,0.0074
pH_Amendment,CAT,0.5845,0.0061
pH_Amendment,LGB,0.5877,0.0057
pH_Amendment,ENSEMBLE,0.5472,N/A
